,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,right_hip_ankle_angle,left_hip_ankle_angle,center_spine_x,center_spine_y,target
1792,0.6241394281387329,0.2876459658145904,0.5976700186729431,0.2860780358314514,177.37803603247912,179.96001271349948,0.5431568175554276,0.385759949684143,0
1793,0.6242509484291077,0.2876587808132171,0.5976457595825195,0.2860738039016723,177.43819284059524,179.89845744890704,0.5431437492370605,0.3857661932706833,0
1794,0.6243618130683899,0.2876698970794678,0.5976540446281433,0.2857477962970733,177.72458847257928,179.75509697155923,0.543435201048851,0.3858190029859543,0
1795,0.6244062781333923,0.2877456545829773,0.5976663827896118,0.2857084572315216,177.78742919270516,179.0848367547169,0.5433589369058609,0.3860799372196197,0
1796,0.6244078874588013,0.2880464792251587,0.5976480841636658,0.2854333519935608,177.4861462486597,179.0651684060898,0.5432696342468262,0.3864696323871612,0
1797,0.6244217157363892,0.2882297933101654,0.5977106094360352,0.2850802838802337,177.47220982669543,179.06062351376306,0.5434400588274002,0.3866121172904968,0
1798,0.6241112947463989,0.2884057164192199,0.5977144837379456,0.2851361632347107,177.51685635113196,178.83768251852229,0.5434127599000931,0.3866420090198517,0
1799,0.6225206851959229,0.2873107492923736,0.6004645824432373,0.2865578532218933,178.25616787871004,179.10538160615835,0.5448348671197891,0.3856551051139831,0
1800,0.6203266978263855,0.2866233885288238,0.6017235517501831,0.2884495556354522,178.77879263897938,179.28865211599586,0.5454634726047516,0.3851554244756698,0
1801,0.619156539440155,0.2861389219760895,0.6020253300666809,0.2903611660003662,179.14552010920022,179.74100076773863,0.5455128848552704,0.3849186450242996,0
1802,0.6192234754562378,0.2856380045413971,0.5969576239585876,0.2903360426425934,178.99148704538806,179.97553386468127,0.5428195297718048,0.3847832977771759,0
1803,0.6194203495979309,0.2855848670005798,0.5974627733230591,0.2903442680835724,179.15967710864143,179.97130129005544,0.5429927259683609,0.3848442733287811,0
1804,0.6195639371871948,0.2854779958724975,0.5990237593650818,0.290614366531372,179.4315692953077,179.7091738106356,0.5435876548290253,0.3849451690912246,0
1805,0.6165791153907776,0.2853426337242126,0.6038599014282227,0.2909715473651886,179.8316983807794,179.66051896642574,0.5463697910308838,0.3842951953411102,0
1806,0.613076388835907,0.2856022417545318,0.608878493309021,0.2921208143234253,178.51175654461633,178.8848308056541,0.550950363278389,0.3840740323066711,0
1807,0.613532304763794,0.2867619693279266,0.6081578135490417,0.2925477921962738,177.02998474800123,178.3960030313797,0.5512029081583023,0.3846864998340606,0
1808,0.6142656803131104,0.2866263091564178,0.6075887680053711,0.2919886410236358,176.86659878024426,178.24365281259776,0.5514024794101715,0.3846691399812698,0
1809,0.6146460175514221,0.2855741083621979,0.6090922951698303,0.2915748059749603,177.7514722747153,178.81777667021734,0.5526660084724426,0.3830317407846451,0
1810,0.6148072481155396,0.2826643288135528,0.6106961965560913,0.2918207347393036,178.20743204737815,179.20356737071106,0.5538191795349121,0.3807426244020462,0
1811,0.6122722029685974,0.282734602689743,0.6113719940185547,0.2938287258148193,178.5036389450881,179.49222057028527,0.5539853721857071,0.3809932768344879,0
1812,0.6086245179176331,0.2827633619308471,0.6124076843261719,0.2952927947044372,177.8919055522452,178.85826554635864,0.5557788759469986,0.3809782713651657,0
1813,0.6093513369560242,0.2828267812728882,0.6088233590126038,0.2937544286251068,177.32368525076998,178.8707519590536,0.5538354516029358,0.3815836161375046,0
1814,0.609626054763794,0.2828826904296875,0.6087743043899536,0.2942249476909637,177.22178834391212,178.08149649891297,0.5539740324020386,0.382005050778389,0
